month,region,model_code,product_type,term_months,credit_tier,buy_rate_apr,published_apr,money_factor,residual_pct
2025-01,East,MODEL_6,Lease,48,A,,,0.002859,0.607
2025-01,East,MODEL_6,Lease,60,A,,,0.004005,0.625
2025-01,East,MODEL_6,Lease,36,B,,,0.004306,0.503
2025-01,East,MODEL_6,Finance,48,B,4.137,4.584,,
2025-01,East,MODEL_6,Lease,60,B,,,0.002573,0.63
2025-01,East,MODEL_6,Finance,36,C,6.093,6.655,,
2025-01,East,MODEL_6,Finance,48,C,6.713,7.059,,
2025-01,East,MODEL_6,Lease,60,C,,,0.001796,0.576
2025-01,East,MODEL_7,Lease,36,A,,,0.002601,0.563
2025-01,East,MODEL_7,Finance,48,A,3.993,4.787,,
2025-01,East,MODEL_7,Lease,60,A,,,0.003816,0.617
2025-01,East,MODEL_7,Finance,36,B,4.135,4.817,,
2025-01,East,MODEL_7,Lease,48,B,,,0.003176,0.622
2025-01,East,MODEL_7,Lease,60,B,,,0.002353,0.534
2025-01,East,MODEL_7,Finance,36,C,6.663,7.558,,
2025-01,East,MODEL_7,Lease,48,C,,,0.001741,0.58
2025-01,East,MODEL_7,Finance,60,C,4.571,5.097,,
2025-01,East,MODEL_8,Lease,36,A,,,0.002173,0.481
2025-01,East,MODEL_8,Finance,48,A,5.958,6.771,,
2025-01,East,MODEL_8,Finance,60,A,4.544,4.901,,
2025-01,East,MODEL_8,Lease,36,B,,,0.002257,0.564
2025-01,East,MODEL_8,Lease,48,B,,,0.002891,0.638
2025-01,East,MODEL_8,Lease,60,B,,,0.004322,0.481
2025-01,East,MODEL_8,Finance,36,C,6.099,6.751,,
2025-01,East,MODEL_8,Finance,48,C,6.931,7.88,,
2025-01,East,MODEL_8,Lease,60,C,,,0.004407,0.607
2025-01,East,MODEL_9,Finance,36,A,6.468,7.423,,
2025-01,East,MODEL_9,Lease,48,A,,,0.003686,0.565
2025-01,East,MODEL_9,Finance,60,A,3.529,4.313,,
2025-01,East,MODEL_9,Finance,36,B,5.04,5.894,,
2025-01,East,MODEL_9,Finance,48,B,5.82,6.428,,
2025-01,East,MODEL_9,Lease,60,B,,,0.001693,0.604
2025-01,East,MODEL_9,Lease,36,C,,,0.004085,0.613
2025-01,East,MODEL_9,Lease,48,C,,,0.004069,0.608
2025-01,East,MODEL_9,Lease,60,C,,,0.003878,0.488
2025-01,East,MODEL_10,Finance,36,A,6.07,6.483,,
2025-01,East,MODEL_10,Finance,48,A,4.453,4.927,,
2025-01,East,MODEL_10,Finance,60,A,3.714,4.636,,
2025-01,East,MODEL_10,Finance,36,B,5.644,6.041,,
2025-01,East,MODEL_10,Lease,48,B,,,0.002974,0.542
2025-01,East,MODEL_10,Lease,60,B,,,0.002006,0.519
2025-01,East,MODEL_10,Finance,36,C,6.852,7.371,,
2025-01,East,MODEL_10,Finance,48,C,5.584,6.457,,
2025-01,East,MODEL_10,Lease,60,C,,,0.003367,0.516
2025-01,South,MODEL_1,Lease,36,A,,,0.002132,0.572
2025-01,South,MODEL_1,Lease,48,A,,,0.001732,0.557
2025-01,South,MODEL_1,Finance,60,A,6.778,7.51,,
2025-01,South,MODEL_1,Lease,36,B,,,0.003609,0.607
2025-01,South,MODEL_1,Finance,48,B,4.316,5.01,,
2025-01,South,MODEL_1,Finance,60,B,5.616,6.188,,
2025-01,South,MODEL_1,Finance,36,C,5.898,6.558,,
2025-01,South,MODEL_1,Finance,48,C,4.736,5.423,,
2025-01,South,MODEL_1,Finance,60,C,4.226,4.837,,
2025-01,South,MODEL_2,Finance,36,A,5.947,6.523,,
2025-01,South,MODEL_2,Finance,48,A,6.152,6.475,,
2025-01,South,MODEL_2,Finance,60,A,6.673,7.006,,
2025-01,South,MODEL_2,Finance,36,B,5.862,6.624,,
2025-01,South,MODEL_2,Finance,48,B,6.459,7.39,,
2025-01,South,MODEL_2,Finance,60,B,6.288,7.146,,
2025-01,South,MODEL_2,Finance,36,C,6.422,7.059,,
2025-01,South,MODEL_2,Lease,48,C,,,0.004021,0.532
2025-01,South,MODEL_2,Finance,60,C,4.84,5.672,,
2025-01,South,MODEL_3,Lease,36,A,,,0.001776,0.561
2025-01,South,MODEL_3,Lease,48,A,,,0.002326,0.606
2025-01,South,MODEL_3,Lease,60,A,,,0.002922,0.486
2025-01,South,MODEL_3,Finance,36,B,4.998,5.714,,
2025-01,South,MODEL_3,Finance,48,B,4.423,5.013,,
2025-01,South,MODEL_3,Finance,60,B,6.619,7.055,,
2025-01,South,MODEL_3,Finance,36,C,6.626,7.591,,
2025-01,South,MODEL_3,Finance,48,C,6.853,7.495,,
2025-01,South,MODEL_3,Lease,60,C,,,0.002319,0.632
2025-01,South,MODEL_4,Finance,36,A,5.234,5.819,,
2025-01,South,MODEL_4,Lease,48,A,,,0.004377,0.614
2025-01,South,MODEL_4,Finance,60,A,4.062,4.487,,
2025-01,South,MODEL_4,Lease,36,B,,,0.002554,0.575
2025-01,South,MODEL_4,Finance,48,B,5.981,6.406,,
2025-01,South,MODEL_4,Lease,60,B,,,0.003238,0.547
2025-01,South,MODEL_4,Finance,36,C,6.124,6.907,,
2025-01,South,MODEL_4,Lease,48,C,,,0.002879,0.638
2025-01,South,MODEL_4,Finance,60,C,3.54,4.156,,
2025-01,South,MODEL_5,Lease,36,A,,,0.002942,0.637
2025-01,South,MODEL_5,Finance,48,A,6.302,7.1,,
2025-01,South,MODEL_5,Lease,60,A,,,0.00315,0.593
2025-01,South,MODEL_5,Finance,36,B,4.881,5.741,,
2025-01,South,MODEL_5,Lease,48,B,,,0.002983,0.615
2025-01,South,MODEL_5,Lease,60,B,,,0.002342,0.516
2025-01,South,MODEL_5,Finance,36,C,6.811,7.728,,
2025-01,South,MODEL_5,Lease,48,C,,,0.004035,0.58
2025-01,South,MODEL_5,Finance,60,C,5.871,6.517,,
2025-01,South,MODEL_6,Lease,36,A,,,0.003428,0.545
2025-01,South,MODEL_6,Finance,48,A,6.802,7.407,,
2025-01,South,MODEL_6,Lease,60,A,,,0.002472,0.514
2025-01,South,MODEL_6,Finance,36,B,4.143,4.519,,
2025-01,South,MODEL_6,Lease,48,B,,,0.002761,0.508
2025-01,South,MODEL_6,Finance,60,B,3.583,4.489,,
2025-01,South,MODEL_6,Finance,36,C,6.828,7.366,,
2025-01,South,MODEL_6,Lease,48,C,,,0.002868,0.628
2025-01,South,MODEL_6,Lease,60,C,,,0.004033,0.542
2025-01,South,MODEL_7,Finance,36,A,6.151,7.112,,
2025-01,South,MODEL_7,Finance,48,A,6.147,6.914,,
2025-01,South,MODEL_7,Lease,60,A,,,0.004472,0.487
2025-01,South,MODEL_7,Lease,36,B,,,0.001951,0.572
2025-01,South,MODEL_7,Finance,48,B,5.778,6.445,,
2025-01,South,MODEL_7,Lease,60,B,,,0.003632,0.588
2025-01,South,MODEL_7,Finance,36,C,5.634,6.155,,
2025-01,South,MODEL_7,Finance,48,C,5.964,6.53,,
2025-01,South,MODEL_7,Lease,60,C,,,0.00259,0.531
2025-01,South,MODEL_8,Finance,36,A,4.629,5.466,,
2025-01,South,MODEL_8,Lease,48,A,,,0.004222,0.519
2025-01,South,MODEL_8,Lease,60,A,,,0.002883,0.554
2025-01,South,MODEL_8,Finance,36,B,3.754,4.705,,
2025-01,South,MODEL_8,Finance,48,B,4.025,4.628,,
2025-01,South,MODEL_8,Lease,60,B,,,0.002433,0.575
2025-01,South,MODEL_8,Finance,36,C,5.872,6.417,,
2025-01,South,MODEL_8,Lease,48,C,,,0.002369,0.548
2025-01,South,MODEL_8,Lease,60,C,,,0.001569,0.619
2025-01,South,MODEL_9,Finance,36,A,6.834,7.475,,
2025-01,South,MODEL_9,Lease,48,A,,,0.004277,0.523
2025-01,South,MODEL_9,Finance,60,A,6.823,7.386,,
2025-01,South,MODEL_9,Finance,36,B,3.625,4.076,,
2025-01,South,MODEL_9,Lease,48,B,,,0.001543,0.554
2025-01,South,MODEL_9,Lease,60,B,,,0.002738,0.516
2025-01,South,MODEL_9,Lease,36,C,,,0.003774,0.571
2025-01,South,MODEL_9,Lease,48,C,,,0.002132,0.555
2025-01,South,MODEL_9,Lease,60,C,,,0.004178,0.651
2025-01,South,MODEL_10,Finance,36,A,4.68,5.024,,
2025-01,South,MODEL_10,Finance,48,A,6.785,7.669,,
2025-01,South,MODEL_10,Lease,60,A,,,0.001949,0.648
2025-01,South,MODEL_10,Finance,36,B,6.284,6.816,,
2025-01,South,MODEL_10,Lease,48,B,,,0.003096,0.517
2025-01,South,MODEL_10,Finance,60,B,5.11,5.678,,
2025-01,South,MODEL_10,Lease,36,C,,,0.004388,0.492
2025-01,South,MODEL_10,Lease,48,C,,,0.003501,0.537
2025-01,South,MODEL_10,Finance,60,C,5.723,6.087,,
2025-01,Midwest,MODEL_1,Lease,36,A,,,0.002116,0.57
2025-01,Midwest,MODEL_1,Lease,48,A,,,0.004122,0.603
2025-01,Midwest,MODEL_1,Finance,60,A,5.06,5.621,,
2025-01,Midwest,MODEL_1,Lease,36,B,,,0.002118,0.523
2025-01,Midwest,MODEL_1,Lease,48,B,,,0.003811,0.569
2025-01,Midwest,MODEL_1,Finance,60,B,6.56,7.234,,
2025-01,Midwest,MODEL_1,Lease,36,C,,,0.004323,0.505
2025-01,Midwest,MODEL_1,Lease,48,C,,,0.002807,0.576
2025-01,Midwest,MODEL_1,Lease,60,C,,,0.003999,0.579
2025-01,Midwest,MODEL_2,Lease,36,A,,,0.002859,0.593
2025-01,Midwest,MODEL_2,Finance,48,A,6.104,6.556,,
2025-01,Midwest,MODEL_2,Lease,60,A,,,0.002153,0.64
2025-01,Midwest,MODEL_2,Finance,36,B,5.832,6.202,,
2025-01,Midwest,MODEL_2,Lease,48,B,,,0.004441,0.547
2025-01,Midwest,MODEL_2,Finance,60,B,6.726,7.535,,
2025-01,Midwest,MODEL_2,Finance,36,C,5.475,6.37,,
2025-01,Midwest,MODEL_2,Lease,48,C,,,0.004397,0.551
2025-01,Midwest,MODEL_2,Finance,60,C,6.161,6.847,,
2025-01,Midwest,MODEL_3,Finance,36,A,5.269,5.994,,
2025-01,Midwest,MODEL_3,Lease,48,A,,,0.004206,0.496
2025-01,Midwest,MODEL_3,Finance,60,A,4.615,5.334,,
2025-01,Midwest,MODEL_3,Finance,36,B,6.971,7.322,,
2025-01,Midwest,MODEL_3,Lease,48,B,,,0.003037,0.561
2025-01,Midwest,MODEL_3,Lease,60,B,,,0.003137,0.567
2025-01,Midwest,MODEL_3,Finance,36,C,4.064,4.708,,
2025-01,Midwest,MODEL_3,Finance,48,C,5.359,6.181,,
2025-01,Midwest,MODEL_3,Finance,60,C,5.397,5.96,,
2025-01,Midwest,MODEL_4,Finance,36,A,6.684,7.261,,
2025-01,Midwest,MODEL_4,Finance,48,A,4.317,5.137,,
2025-01,Midwest,MODEL_4,Lease,60,A,,,0.002852,0.485
2025-01,Midwest,MODEL_4,Lease,36,B,,,0.004352,0.629
2025-01,Midwest,MODEL_4,Finance,48,B,3.802,4.528,,
2025-01,Midwest,MODEL_4,Lease,60,B,,,0.002,0.508
2025-01,Midwest,MODEL_4,Finance,36,C,4.641,5.193,,
2025-01,Midwest,MODEL_4,Finance,48,C,5.165,5.551,,
2025-01,Midwest,MODEL_4,Finance,60,C,3.823,4.153,,
2025-01,Midwest,MODEL_5,Lease,36,A,,,0.004271,0.52
2025-01,Midwest,MODEL_5,Lease,48,A,,,0.003231,0.499
2025-01,Midwest,MODEL_5,Finance,60,A,5.056,5.761,,
2025-01,Midwest,MODEL_5,Lease,36,B,,,0.003684,0.511
2025-01,Midwest,MODEL_5,Finance,48,B,4.458,5.264,,
2025-01,Midwest,MODEL_5,Lease,60,B,,,0.002182,0.56
2025-01,Midwest,MODEL_5,Lease,36,C,,,0.002858,0.655
2025-01,Midwest,MODEL_5,Lease,48,C,,,0.002428,0.566
2025-01,Midwest,MODEL_5,Lease,60,C,,,0.001912,0.487
2025-01,Midwest,MODEL_6,Finance,36,A,5.875,6.724,,
2025-01,Midwest,MODEL_6,Finance,48,A,6.848,7.332,,
2025-01,Midwest,MODEL_6,Finance,60,A,5.502,6.009,,
2025-01,Midwest,MODEL_6,Lease,36,B,,,0.003323,0.582
2025-01,Midwest,MODEL_6,Finance,48,B,4.679,5.255,,
2025-01,Midwest,MODEL_6,Finance,60,B,4.735,5.134,,
2025-01,Midwest,MODEL_6,Finance,36,C,4.909,5.245,,
2025-01,Midwest,MODEL_6,Finance,48,C,5.947,6.749,,
2025-01,Midwest,MODEL_6,Lease,60,C,,,0.003851,0.549
2025-01,Midwest,MODEL_7,Finance,36,A,5.48,5.848,,
2025-01,Midwest,MODEL_7,Lease,48,A,,,0.00369,0.618
2025-01,Midwest,MODEL_7,Lease,60,A,,,0.003398,0.501
2025-01,Midwest,MODEL_7,Lease,36,B,,,0.003308,0.574
2025-01,Midwest,MODEL_7,Finance,48,B,3.654,4.372,,
2025-01,Midwest,MODEL_7,Lease,60,B,,,0.003589,0.602
2025-01,Midwest,MODEL_7,Finance,36,C,5.006,5.835,,
2025-01,Midwest,MODEL_7,Lease,48,C,,,0.00407,0.59
2025-01,Midwest,MODEL_7,Finance,60,C,4.697,5.084,,
2025-01,Midwest,MODEL_8,Lease,36,A,,,0.004431,0.538
2025-01,Midwest,MODEL_8,Finance,48,A,5.048,5.433,,
2025-01,Midwest,MODEL_8,Finance,60,A,4.282,4.708,,
2025-01,Midwest,MODEL_8,Finance,36,B,5.028,5.557,,
2025-01,Midwest,MODEL_8,Finance,48,B,3.538,3.959,,
2025-01,Midwest,MODEL_8,Lease,60,B,,,0.002615,0.656
2025-01,Midwest,MODEL_8,Finance,36,C,5.554,6.192,,
2025-01,Midwest,MODEL_8,Lease,48,C,,,0.002553,0.541
2025-01,Midwest,MODEL_8,Finance,60,C,5.449,6.096,,
2025-01,Midwest,MODEL_9,Lease,36,A,,,0.003701,0.585
2025-01,Midwest,MODEL_9,Finance,48,A,4.526,5.245,,
2025-01,Midwest,MODEL_9,Finance,60,A,5.037,5.898,,
2025-01,Midwest,MODEL_9,Finance,36,B,3.649,4.21,,
2025-01,Midwest,MODEL_9,Lease,48,B,,,0.001869,0.508
2025-01,Midwest,MODEL_9,Finance,60,B,3.853,4.217,,
2025-01,Midwest,MODEL_9,Lease,36,C,,,0.002195,0.575
2025-01,Midwest,MODEL_9,Finance,48,C,4.383,5.042,,
2025-01,Midwest,MODEL_9,Finance,60,C,4.937,5.415,,
2025-01,Midwest,MODEL_10,Finance,36,A,3.625,4.283,,
2025-01,Midwest,MODEL_10,Finance,48,A,3.653,4.619,,
2025-01,Midwest,MODEL_10,Lease,60,A,,,0.003576,0.57
2025-01,Midwest,MODEL_10,Lease,36,B,,,0.001636,0.591
2025-01,Midwest,MODEL_10,Lease,48,B,,,0.002075,0.634
2025-01,Midwest,MODEL_10,Finance,60,B,6.008,6.615,,
2025-01,Midwest,MODEL_10,Finance,36,C,6.361,6.829,,
2025-01,Midwest,MODEL_10,Lease,48,C,,,0.003845,0.507
2025-01,Midwest,MODEL_10,Finance,60,C,4.916,5.811,,
2025-01,West,MODEL_1,Finance,36,A,4.61,5.137,,
2025-01,West,MODEL_1,Finance,48,A,5.061,5.654,,
2025-01,West,MODEL_1,Lease,60,A,,,0.003704,0.616
2025-01,West,MODEL_1,Finance,36,B,5.555,6.196,,
2025-01,West,MODEL_1,Lease,48,B,,,0.003154,0.554
2025-01,West,MODEL_1,Finance,60,B,6.457,7.021,,
2025-01,West,MODEL_1,Finance,36,C,5.461,5.806,,
2025-01,West,MODEL_1,Lease,48,C,,,0.002588,0.619
2025-01,West,MODEL_1,Lease,60,C,,,0.003324,0.62
2025-01,West,MODEL_2,Lease,36,A,,,0.003809,0.485
2025-01,West,MODEL_2,Lease,48,A,,,0.004427,0.539
2025-01,West,MODEL_2,Finance,60,A,6.149,6.674,,
2025-01,West,MODEL_2,Finance,36,B,5.033,5.906,,
2025-01,West,MODEL_2,Lease,48,B,,,0.002393,0.502
2025-01,West,MODEL_2,Finance,60,B,5.959,6.386,,
2025-01,West,MODEL_2,Lease,36,C,,,0.003226,0.548
2025-01,West,MODEL_2,Finance,48,C,3.957,4.955,,
2025-01,West,MODEL_2,Finance,60,C,5.407,6.39,,
2025-01,West,MODEL_3,Lease,36,A,,,0.002416,0.653
2025-01,West,MODEL_3,Finance,48,A,3.693,4.145,,
2025-01,West,MODEL_3,Finance,60,A,6.272,7.207,,
2025-01,West,MODEL_3,Lease,36,B,,,0.003191,0.582
2025-01,West,MODEL_3,Finance,48,B,4.757,5.133,,
2025-01,West,MODEL_3,Finance,60,B,3.899,4.539,,
2025-01,West,MODEL_3,Lease,36,C,,,0.004406,0.586
2025-01,West,MODEL_3,Finance,48,C,6.412,7.102,,
2025-01,West,MODEL_3,Lease,60,C,,,0.002969,0.573
2025-01,West,MODEL_4,Finance,36,A,5.655,6.089,,
2025-01,West,MODEL_4,Finance,48,A,4.539,5.063,,
2025-01,West,MODEL_4,Lease,60,A,,,0.004039,0.547
2025-01,West,MODEL_4,Finance,36,B,5.751,6.119,,
2025-01,West,MODEL_4,Lease,48,B,,,0.003824,0.547
2025-01,West,MODEL_4,Finance,60,B,6.357,7.343,,
2025-01,West,MODEL_4,Lease,36,C,,,0.001744,0.481
2025-01,West,MODEL_4,Finance,48,C,6.435,7.233,,
2025-01,West,MODEL_4,Lease,60,C,,,0.00387,0.586
2025-01,West,MODEL_5,Lease,36,A,,,0.003049,0.496
2025-01,West,MODEL_5,Lease,48,A,,,0.002587,0.54
2025-01,West,MODEL_5,Lease,60,A,,,0.002414,0.627
2025-01,West,MODEL_5,Lease,36,B,,,0.001977,0.529
2025-01,West,MODEL_5,Finance,48,B,6.349,7.11,,
2025-01,West,MODEL_5,Lease,60,B,,,0.00449,0.511
2025-01,West,MODEL_5,Finance,36,C,5.567,6.151,,
2025-01,West,MODEL_5,Finance,48,C,5.774,6.677,,
2025-01,West,MODEL_5,Finance,60,C,6.674,7.49,,
2025-01,West,MODEL_6,Lease,36,A,,,0.00316,0.569
2025-01,West,MODEL_6,Finance,48,A,6.018,6.989,,
2025-01,West,MODEL_6,Lease,60,A,,,0.002674,0.561
2025-01,West,MODEL_6,Finance,36,B,4.093,4.956,,
2025-01,West,MODEL_6,Finance,48,B,4.789,5.713,,
2025-01,West,MODEL_6,Lease,60,B,,,0.002282,0.629
2025-01,West,MODEL_6,Finance,36,C,6.417,6.895,,
2025-01,West,MODEL_6,Finance,48,C,5.838,6.303,,
2025-01,West,MODEL_6,Finance,60,C,4.52,5.152,,
2025-01,West,MODEL_7,Lease,36,A,,,0.002001,0.548
2025-01,West,MODEL_7,Lease,48,A,,,0.003141,0.616
2025-01,West,MODEL_7,Finance,60,A,4.923,5.529,,
2025-01,West,MODEL_7,Lease,36,B,,,0.002358,0.56
2025-01,West,MODEL_7,Lease,48,B,,,0.003682,0.53
2025-01,West,MODEL_7,Lease,60,B,,,0.002473,0.571
2025-01,West,MODEL_7,Lease,36,C,,,0.002109,0.658
2025-01,West,MODEL_7,Finance,48,C,6.205,6.646,,
2025-01,West,MODEL_7,Lease,60,C,,,0.001547,0.561
2025-01,West,MODEL_8,Finance,36,A,5.648,6.135,,
2025-01,West,MODEL_8,Lease,48,A,,,0.002272,0.549
2025-01,West,MODEL_8,Lease,60,A,,,0.002884,0.626
2025-01,West,MODEL_8,Finance,36,B,6.101,6.721,,
2025-01,West,MODEL_8,Finance,48,B,5.502,6.062,,
2025-01,West,MODEL_8,Lease,60,B,,,0.002605,0.604
2025-01,West,MODEL_8,Lease,36,C,,,0.003665,0.501
2025-01,West,MODEL_8,Finance,48,C,3.83,4.665,,
2025-01,West,MODEL_8,Finance,60,C,4.503,4.992,,
2025-01,West,MODEL_9,Lease,36,A,,,0.002795,0.539
2025-01,West,MODEL_9,Lease,48,A,,,0.002454,0.602
2025-01,West,MODEL_9,Finance,60,A,3.555,4.136,,
2025-01,West,MODEL_9,Finance,36,B,5.852,6.291,,
2025-01,West,MODEL_9,Finance,48,B,6.924,7.886,,
2025-01,West,MODEL_9,Finance,60,B,5.696,6.369,,
2025-01,West,MODEL_9,Lease,36,C,,,0.002523,0.642
2025-01,West,MODEL_9,Lease,48,C,,,0.00216,0.628
2025-01,West,MODEL_9,Lease,60,C,,,0.003622,0.586
2025-01,West,MODEL_10,Lease,36,A,,,0.004288,0.645
2025-01,West,MODEL_10,Lease,48,A,,,0.002159,0.613
2025-01,West,MODEL_10,Lease,60,A,,,0.004443,0.628
2025-01,West,MODEL_10,Lease,36,B,,,0.002474,0.625
2025-01,West,MODEL_10,Lease,48,B,,,0.003308,0.501
2025-01,West,MODEL_10,Lease,60,B,,,0.002739,0.495
2025-01,West,MODEL_10,Finance,36,C,6.221,6.713,,
2025-01,West,MODEL_10,Lease,48,C,,,0.001793,0.606
2025-01,West,MODEL_10,Finance,60,C,6.645,7.642,,
2025-02,East,MODEL_1,Finance,36,A,4.075,4.942,,
2025-02,East,MODEL_1,Lease,48,A,,,0.003318,0.526
2025-02,East,MODEL_1,Finance,60,A,5.663,6.023,,
2025-02,East,MODEL_1,Lease,36,B,,,0.003414,0.594
2025-02,East,MODEL_1,Lease,48,B,,,0.002395,0.505
2025-02,East,MODEL_1,Finance,60,B,5.266,6.195,,
2025-02,East,MODEL_1,Finance,36,C,3.947,4.267,,
2025-02,East,MODEL_1,Finance,48,C,5.17,6.041,,
2025-02,East,MODEL_1,Lease,60,C,,,0.003935,0.488
2025-02,East,MODEL_2,Finance,36,A,6.914,7.788,,
2025-02,East,MODEL_2,Finance,48,A,4.104,4.667,,
2025-02,East,MODEL_2,Lease,60,A,,,0.004402,0.496
2025-02,East,MODEL_2,Lease,36,B,,,0.002253,0.563
2025-02,East,MODEL_2,Finance,48,B,6.563,7.149,,
2025-02,East,MODEL_2,Lease,60,B,,,0.004055,0.581
2025-02,East,MODEL_2,Finance,36,C,3.668,4.203,,
2025-02,East,MODEL_2,Finance,48,C,4.09,4.738,,
2025-02,East,MODEL_2,Finance,60,C,3.74,4.247,,
2025-02,East,MODEL_3,Lease,36,A,,,0.003012,0.588
2025-02,East,MODEL_3,Lease,48,A,,,0.00342,0.582
2025-02,East,MODEL_3,Lease,60,A,,,0.004216,0.497
2025-02,East,MODEL_3,Finance,36,B,5.412,5.836,,
2025-02,East,MODEL_3,Lease,48,B,,,0.002074,0.534
2025-02,East,MODEL_3,Finance,60,B,3.868,4.732,,
2025-02,East,MODEL_3,Lease,36,C,,,0.003161,0.627
2025-02,East,MODEL_3,Finance,48,C,5.561,6.518,,
2025-02,East,MODEL_3,Finance,60,C,6.707,7.439,,
2025-02,East,MODEL_4,Finance,36,A,3.815,4.163,,
2025-02,East,MODEL_4,Finance,48,A,6.318,7.311,,
2025-02,East,MODEL_4,Finance,60,A,5.634,6.55,,
2025-02,East,MODEL_4,Lease,36,B,,,0.002825,0.608
2025-02,East,MODEL_4,Finance,48,B,5.432,5.981,,
2025-02,East,MODEL_4,Lease,60,B,,,0.003161,0.532
2025-02,East,MODEL_4,Finance,36,C,3.831,4.22,,
2025-02,East,MODEL_4,Finance,48,C,4.018,5.009,,
2025-02,East,MODEL_4,Finance,60,C,4.227,5.201,,
2025-02,East,MODEL_5,Lease,36,A,,,0.002171,0.601
2025-02,East,MODEL_5,Lease,48,A,,,0.003196,0.544
2025-02,East,MODEL_5,Finance,60,A,4.875,5.753,,
2025-02,East,MODEL_5,Finance,36,B,5.636,6.273,,
2025-02,East,MODEL_5,Lease,48,B,,,0.00196,0.588
2025-02,East,MODEL_5,Finance,60,B,6.307,6.647,,
2025-02,East,MODEL_5,Finance,36,C,6.236,6.641,,
2025-02,East,MODEL_5,Lease,48,C,,,0.00276,0.517
2025-02,East,MODEL_5,Lease,60,C,,,0.002048,0.51
2025-02,East,MODEL_6,Lease,36,A,,,0.002347,0.649
2025-02,East,MODEL_6,Lease,48,A,,,0.001795,0.611
2025-02,East,MODEL_6,Lease,60,A,,,0.00207,0.61
2025-02,East,MODEL_6,Finance,36,B,6.139,6.81,,
2025-02,East,MODEL_6,Lease,48,B,,,0.001785,0.579
2025-02,East,MODEL_6,Lease,60,B,,,0.002434,0.55
2025-02,East,MODEL_6,Finance,36,C,5.774,6.73,,
2025-02,East,MODEL_6,Finance,48,C,5.052,6.012,,
2025-02,East,MODEL_6,Lease,60,C,,,0.002262,0.515
2025-02,East,MODEL_7,Finance,36,A,6.209,6.846,,
2025-02,East,MODEL_7,Finance,48,A,4.541,4.965,,
2025-02,East,MODEL_7,Lease,60,A,,,0.002112,0.64
2025-02,East,MODEL_7,Lease,36,B,,,0.003324,0.613
2025-02,East,MODEL_7,Lease,48,B,,,0.002621,0.485
